article_pk,article_title,article_abstract,article_doi,article_doilink,article_pmid,article_pubmedlink,article_pmid_secondary_source,article_pubmed_published_converted,article_pubmed_completed_converted,article_pubmed_year,article_databankelement_name,article_databankelement_accession,article_pdf_study_type,article_pdf_study_accession
MDDBART000001,Fungal biogeography. Global diversity and geography of soil fungi.,"Fungi play major roles in ecosystem processes, but the determinants of fungal diversity and biogeographic patterns remain poorly understood. Using DNA metabarcoding data from hundreds of globally distributed soil samples, we demonstrate that fungal richness is decoupled from plant diversity. The plant-to-fungus richness ratio declines exponentially toward the poles. Climatic factors, followed by edaphic and spatial variables, constitute the best predictors of fungal richness and community composition at the global scale. Fungi show similar latitudinal diversity gradients to other organisms, with several notable exceptions. These findings advance our understanding of global fungal diversity patterns and permit integration of fungi into a general macroecological framework.",10.1126/science.1256688,http://dx.doi.org/10.1126/science.1256688,25430773,https://www.ncbi.nlm.nih.gov/pubmed/?term=25430773,YES,2014-11-28,2014-12-16,2014,SRA,SRP043706,SRA ,SRP043706
MDDBART000002,New primers to amplify the fungal ITS2 region--evaluation by 454-sequencing of artificial and natural communities.,"With recent methodological advances, molecular markers are increasingly used for semi-quantitative analyses of fungal communities. The aim to preserve quantitative relationships between genotypes through PCR places new demands on primers to accurately match target sites and provide short amplicons. The internal transcribed spacer (ITS) region of the ribosome encoding genes is a commonly used marker for many fungal groups. Here, we describe three new primers - fITS7, gITS7 and fITS9, which may be used to amplify the fungal ITS2 region by targeting sites in the 5.8S encoding gene. We evaluated the primers and compared their performance with the commonly used ITS1f primer by 454-sequencing of both artificially assembled templates and field samples. When the entire ITS region was amplified using the ITS1f/ITS4 primer combination, we found strong bias against species with longer amplicons. This problem could be overcome by using the new primers, which produce shorter amplicons and better preserve the quantitative composition of the template. In addition, the new primers yielded more diverse amplicon communities than the ITS1f primer.",10.1111/j.1574-6941.2012.01437.x,http://dx.doi.org/10.1111/j.1574-6941.2012.01437.x,22738186,https://www.ncbi.nlm.nih.gov/pubmed/?term=22738186,NO,2012-12-01,2013-05-28,2012,,,SRA ,SRA052087
MDDBART000003,Strong altitudinal partitioning in the distributions of ectomycorrhizal fungi along a short (300 m) elevation gradient.,"Changes in species richness and distributions of ectomycorrhizal (ECM) fungal communities along altitudinal gradients have been attributed to changes in both host distributions and abiotic variables. However, few studies have considered altitudinal relationships of ECM fungi associated with a single host to identify the role of abiotic drivers. To address this, ECM fungal communities associated with one host were assessed along five altitudinal transects in Scotland. Roots of Scots pine (Pinus sylvestris) were collected from sites between 300 and 550-600 m altitude, and ECM fungal communities were identified by 454 pyrosequencing of the fungal internal transcribed spacer (ITS) region. Soil moisture, temperature, pH, carbon : nitrogen (C : N) ratio and organic matter content were measured as potential predictors of fungal species richness and community composition. Altitude did not affect species richness of ECM fungal communities, but strongly influenced fungal community composition. Shifts in community composition along the altitudinal gradient were most clearly related to changes in soil moisture and temperature. Our results show that a 300 m altitudinal gradient produced distinct shifts in ECM fungal communities associated with a single host, and that this pattern was strongly related to climatic variables. This finding suggests significant climatic niche partitioning among ECM fungal species. ",10.1111/nph.13315,http://dx.doi.org/10.1111/nph.13315,25655082,https://www.ncbi.nlm.nih.gov/pubmed/?term=25655082,YES,2015-05-01,2016-05-19,2015,GENBANK,,BioProject,PRJNA253816
MDDBART000004,Roots and associated fungi drive long-term carbon sequestration in boreal forest.,"Boreal forest soils function as a terrestrial net sink in the global carbon cycle. The prevailing dogma has focused on aboveground plant litter as a principal source of soil organic matter. Using (14)C bomb-carbon modeling, we show that 50 to 70% of stored carbon in a chronosequence of boreal forested islands derives from roots and root-associated microorganisms. Fungal biomarkers indicate impaired degradation and preservation of fungal residues in late successional forests. Furthermore, 454 pyrosequencing of molecular barcodes, in conjunction with stable isotope analyses, highlights root-associated fungi as important regulators of ecosystem carbon dynamics. Our results suggest an alternative mechanism for the accumulation of organic matter in boreal forests during succession in the long-term absence of disturbance.",10.1126/science.1231923,http://dx.doi.org/10.1126/science.1231923,23539604,https://www.ncbi.nlm.nih.gov/pubmed/?term=23539604,NO,2013-03-29,2013-04-03,2013,,,SRA ,SRP016090
MDDBART000005,ITS1 versus ITS2 as DNA metabarcodes for fungi.,"The nuclear ribosomal Internal Transcribed Spacer ITS region is widely used as a DNA metabarcoding marker to characterize the diversity and composition of fungal communities. In amplicon pyrosequencing studies of fungal diversity, one of the spacers ITS1 or ITS2 of the ITS region is normally used. In this methodological study we evaluate the usability of ITS1 vs. ITS2 as a DNA metabarcoding marker for fungi. We analyse three data sets: two comprising ITS1 and ITS2 sequences of known taxonomic affiliations and a third comprising ITS1 and ITS2 environmental amplicon pyrosequencing data. Clustering analyses of sequences with known taxonomy using the bioinformatics pipeline ClustEx revealed that a 97% similarity cut-off represent a reasonable threshold for estimating the number of known species in the data sets for both ITS1 and ITS2. However, no single threshold value worked well for all fungi at the same time within the curated UNITE database, and we found that the Operational Taxonomic Unit (OTU) concept is not easily translated into the level of species because many species are distributed over several clusters. Clustering analyses of the 134 692 ITS1 and ITS2 pyrosequences using a 97% similarity cut-off revealed a high similarity between the two data sets when it comes to taxonomic coverage. Although some groups are under- or unrepresented in the two data sets due to, e.g. primer mismatches, our results indicate that ITS1 and ITS2 to a large extent yield similar results when used as DNA metabarcodes for fungi.",10.1111/1755-0998.12065,http://dx.doi.org/10.1111/1755-0998.12065,23350562,https://www.ncbi.nlm.nih.gov/pubmed/?term=23350562,NO,2013-01-25,2013-07-29,2013,,,SRA ,SRA050547
MDDBART000006,Dispersal in microbes: fungi in indoor air are dominated by outdoor air and show dispersal limitation at short distances.,"The indoor microbiome is a complex system that is thought to depend on dispersal from the outdoor biome and the occupants' microbiome combined with selective pressures imposed by the occupants' behaviors and the building itself. We set out to determine the pattern of fungal diversity and composition in indoor air on a local scale and to identify processes behind that pattern. We surveyed airborne fungal assemblages within 1-month time periods at two seasons, with high replication, indoors and outdoors, within and across standardized residences at a university housing facility. Fungal assemblages indoors were diverse and strongly determined by dispersal from outdoors, and no fungal taxa were found as indicators of indoor air. There was a seasonal effect on the fungi found in both indoor and outdoor air, and quantitatively more fungal biomass was detected outdoors than indoors. A strong signal of isolation by distance existed in both outdoor and indoor airborne fungal assemblages, despite the small geographic scale in which this study was undertaken (<500?m). Moreover, room and occupant behavior had no detectable effect on the fungi found in indoor air. These results show that at the local level, outdoor air fungi dominate the patterning of indoor air. More broadly, they provide additional support for the growing evidence that dispersal limitation, even on small geographic scales, is a key process in structuring the often-observed distance-decay biogeographic pattern in microbial communities.",10.1038/ismej.2013.28,http://dx.doi.org/10.1038/ismej.2013.28,23426013,https://www.ncbi.nlm.nih.gov/pubmed/?term=23426013,NO,2013-07-01,2014-01-30,2013,,,SRA ,SRA059097
MDDBART000007,Quantifying microbial communities with 454 pyrosequencing: does read abundance count?,"Pyrosequencing technologies have revolutionized how we describe and compare complex microbial communities. In 454 pyrosequencing data sets, the abundance of reads pertaining to taxa or phylotypes is commonly interpreted as a measure of genic or taxon abundance, useful for quantitative comparisons of community similarity. Potentially systematic biases inherent in sample processing, amplification and sequencing, however, may alter read abundance and reduce the utility of quantitative metrics. Here, we examine the relationship between read abundance and biological abundance in a sample of house dust spiked with known quantities and identities of fungi along a dilution gradient. Our results show one order of magnitude differences in read abundance among species. Precision of quantification within species along the dilution gradient varied from R(2) of 0.96-0.54. Read-quality based processing stringency profoundly affected the abundance of one species containing long homopolymers in a read orientation-biased manner. Order-level composition of background environmental fungal communities determined from pyrosequencing data was comparable with that derived from cloning and Sanger sequencing and was not biased by read orientation. We conclude that read abundance is approximately quantitative within species, but between-species comparisons can be biased by innate sequence structure. Our results showed a trade off between sequence quality stringency and quantification. Careful consideration of sequence processing methods and community analyses are warranted when testing hypotheses using read abundance data.",10.1111/j.1365-294X.2010.04898.x,http://dx.doi.org/10.1111/j.1365-294X.2010.04898.x,21050295,https://www.ncbi.nlm.nih.gov/pubmed/?term=21050295,NO,2010-12-01,2011-03-25,2010,,,SRA ,SRS01009
MDDBART000008,Indoor fungal composition is geographically patterned and more diverse in temperate zones than in the tropics.,"Fungi are ubiquitous components of indoor human environments, where most contact between humans and microbes occurs. The majority of these organisms apparently play a neutral role, but some are detrimental to human lifestyles and health. Recent studies that used culture-independent sampling methods demonstrated a high diversity of indoor fungi distinct from that of outdoor environments. Others have shown temporal fluctuations of fungal assemblages in human environments and modest correlations with human activity, but global-scale patterns have not been examined, despite the manifest significance of biogeography in other microbial systems. Here we present a global survey of fungi from indoor environments (n = 72), using both taxonomic and phylogeny-informative molecular markers to determine whether global or local indoor factors determine indoor fungal composition. Contrary to common ecological patterns, we show that fungal diversity is significantly higher in temperate zones than in the tropics, with distance from the equator being the best predictor of phylogenetic community similarity. Fungal composition is significantly auto-correlated at the national and hemispheric spatial scales. Remarkably, building function has no significant effect on indoor fungal composition, despite stark contrasts between architecture and materials of some buildings in close proximity. Distribution of individual taxa is significantly range- and latitude-limited compared with a null model of randomized distribution. Our results suggest that factors driving fungal composition are primarily global rather than mediated by building design or function.",10.1073/pnas.1000454107,http://dx.doi.org/10.1073/pnas.1000454107,20616017,https://www.ncbi.nlm.nih.gov/pubmed/?term=20616017,NO,2010-08-03,2010-09-08,2010,,,SRA ,SRS010093
MDDBART000009,Spatio-temporal dynamics of soil bacterial communities as a function of Amazon forest phenology.,"2-fixers adapted to fluctuating redox conditions. In contrast, Beijerinckiaceae, likely derived from the phyllosphere, were found at higher abundances when litter inputs and accumulation were highest. We showed that in a mildly seasonal rain forest, the composition of soil microbial communities appears to be following canopy phenology patterns and the two are interlinked and drive soil nutrient availability.",10.1038/s41598-018-22380-z,http://dx.doi.org/10.1038/s41598-018-22380-z,29531240,https://www.ncbi.nlm.nih.gov/pubmed/?term=29531240,NO,2018-03-12,In data review,2018,,,GENBANK,KBUV00000000
MDDBART000010,Phylogenetic relatedness explains highly interconnected and nested symbiotic networks of woody plants and arbuscular mycorrhizal fungi in a Chinese subtropical forest.,"Elucidating symbiotic relationships between arbuscular mycorrhizal fungi (AMF) and plants contributes to a better understanding of their reciprocally dependent coexistence and community assembly. However, the main drivers of plant and AMF community assembly remain unclear. In this study, we examined AMF communities from 166 root samples of 17 woody plant species from 10 quadrats in a Chinese subtropical forest using 454 pyrosequencing of 18S rRNA gene to describe symbiotic AMF-plant association. Our results show the woody plant-AMF networks to be highly interconnected and nested, but in antimodular and antispecialized manners. The nonrandom pattern in the woody plant-AMF network was explained by plant and AMF phylogenies, with a tendency for a stronger phylogenetic signal by plant than AMF phylogeny. This study suggests that the phylogenetic niche conservatism in woody plants and their AMF symbionts could contribute to interdependent AMF and plant community assembly in this subtropical forest ecosystem.",10.1111/mec.14061,http://dx.doi.org/10.1111/mec.14061,28207957,https://www.ncbi.nlm.nih.gov/pubmed/?term=28207957,YES,2017-05-01,2018-01-31,2017,GENBANK,SRP042134,SRA ,SRP042134
MDDBART000011,"Convergence and contrast in the community structure of Bacteria, Fungi and Archaea along a tropical elevation-climate gradient.","Changes in species richness along climatological gradients have been instrumental in developing theories about the general drivers of biodiversity. Previous studies on microbial communities along climate gradients on mountainsides have revealed positive, negative and neutral richness trends. We examined changes in richness and composition of Fungi, Bacteria and Archaea in soil along a 50-1000 m elevation, 280-3280 mm/yr precipitation gradient in Hawai'i. Soil properties and their drivers are exceptionally well understood along this gradient. All three microbial groups responded strongly to the gradient, with community ordinations being similar along axes of environmental conditions (pH, rainfall) and resource availability (nitrogen, phosphorus). However, the form of the richness-climate relationship varied between Fungi (positive linear), Bacteria (unimodal) and Archaea (negative linear). These differences were related to resource-ecology and limiting conditions for each group, with fungal richness increasing most strongly with soil carbon, ammonia-oxidizing Archaea increasing with nitrogen mineralization rate, and Bacteria increasing with both carbon and pH. Reponses to the gradient became increasingly variable at finer taxonomic scales and within any taxonomic group most individual OTUs occurred in narrow climate-elevation ranges. These results show that microbial responses to climate gradients are heterogeneous due to complexity of underlying environmental changes and the diverse ecologies of microbial taxa.",10.1093/femsec/fix045,http://dx.doi.org/10.1093/femsec/fix045,28402397,https://www.ncbi.nlm.nih.gov/pubmed/?term=28402397,NO,2017-05-01,2017-10-03,2017,,,BioProject,PRJNA379981
MDDBART000012,FUNGAL SYMBIONTS. Global assessment of arbuscular mycorrhizal fungus diversity reveals very low endemism.,"The global biogeography of microorganisms remains largely unknown, in contrast to the well-studied diversity patterns of macroorganisms. We used arbuscular mycorrhizal (AM) fungus DNA from 1014 plant-root samples collected worldwide to determine the global distribution of these plant symbionts. We found that AM fungal communities reflected local environmental conditions and the spatial distance between sites. However, despite AM fungi apparently possessing limited dispersal ability, we found 93% of taxa on multiple continents and 34% on all six continents surveyed. This contrasts with the high spatial turnover of other fungal taxa and with the endemism displayed by plants at the global scale. We suggest that the biogeography of AM fungi is driven by unexpectedly efficient dispersal, probably via both abiotic and biotic vectors, including humans. ",10.1126/science.aab1161,http://dx.doi.org/10.1126/science.aab1161,26315436,https://www.ncbi.nlm.nih.gov/pubmed/?term=26315436,NO,2015-08-28,2016-02-19,2015,,,BioProject,PRJEB9764
MDDBART000013,Arbuscular mycorrhizal interactions of mycoheterotrophic Thismia are more specialized than in autotrophic plants.,"In general, plants and arbuscular mycorrhizal (AM) fungi exchange photosynthetically fixed carbon for soil nutrients, but occasionally nonphotosynthetic plants obtain carbon from AM fungi. The interactions of these mycoheterotrophic plants with AM fungi are suggested to be more specialized than those of green plants, although direct comparisons are lacking. We investigated the mycorrhizal interactions of both green and mycoheterotrophic plants. We used next-generation DNA sequencing to compare the AM communities from roots of five closely related mycoheterotrophic species of Thismia (Thismiaceae), roots of surrounding green plants, and soil, sampled over the entire temperate distribution of Thismia in Australia and New Zealand. We observed that the fungal communities of mycoheterotrophic and green plants are phylogenetically more similar within than between these groups of plants, suggesting a specific association pattern according to plant trophic mode. Moreover, mycoheterotrophic plants follow a more restricted association with their fungal partners in terms of phylogenetic diversity when compared with green plants, targeting more clustered lineages of fungi, independent of geographic origin. Our findings demonstrate that these mycoheterotrophic plants target more narrow lineages of fungi than green plants, despite the larger fungal pool available in the soil, and thus they are more specialized towards mycorrhizal fungi than autotrophic plants.",10.1111/nph.14249,http://dx.doi.org/10.1111/nph.14249,27739593,https://www.ncbi.nlm.nih.gov/pubmed/?term=27739593,NO,2017-02-01,2018-02-12,2017,,,SRA ,SRP083901
