study_pk,sample_pk
MDDBSRA000001,MDDBSRS000001
MDDBSRA000001,MDDBSRS000002
MDDBSRA000001,MDDBSRS000003
MDDBSRA000001,MDDBSRS000004
MDDBSRA000001,MDDBSRS000005
MDDBSRA000001,MDDBSRS000006
MDDBSRA000001,MDDBSRS000007
MDDBSRA000001,MDDBSRS000008
MDDBSRA000001,MDDBSRS000009
MDDBSRA000001,MDDBSRS000010
MDDBSRA000001,MDDBSRS000011
MDDBSRA000001,MDDBSRS000012
MDDBSRA000001,MDDBSRS000013
MDDBSRA000001,MDDBSRS000014
MDDBSRA000001,MDDBSRS000015
MDDBSRA000001,MDDBSRS000016
MDDBSRA000001,MDDBSRS000017
MDDBSRA000001,MDDBSRS000018
MDDBSRA000001,MDDBSRS000019
MDDBSRA000001,MDDBSRS000020
MDDBSRA000001,MDDBSRS000021
MDDBSRA000001,MDDBSRS000022
MDDBSRA000001,MDDBSRS000023
MDDBSRA000001,MDDBSRS000024
MDDBSRA000001,MDDBSRS000025
MDDBSRA000001,MDDBSRS000026
MDDBSRA000001,MDDBSRS000027
MDDBSRA000001,MDDBSRS000028
MDDBSRA000001,MDDBSRS000029
MDDBSRA000001,MDDBSRS000030
MDDBSRA000001,MDDBSRS000031
MDDBSRA000001,MDDBSRS000032
MDDBSRA000001,MDDBSRS000033
MDDBSRA000001,MDDBSRS000034
MDDBSRA000001,MDDBSRS000035
MDDBSRA000001,MDDBSRS000036
MDDBSRA000001,MDDBSRS000037
MDDBSRA000001,MDDBSRS000038
MDDBSRA000001,MDDBSRS000039
MDDBSRA000001,MDDBSRS000040
MDDBSRA000001,MDDBSRS000041
MDDBSRA000001,MDDBSRS000042
MDDBSRA000001,MDDBSRS000043
MDDBSRA000001,MDDBSRS000044
MDDBSRA000001,MDDBSRS000045
MDDBSRA000001,MDDBSRS000046
MDDBSRA000001,MDDBSRS000047
MDDBSRA000001,MDDBSRS000048
MDDBSRA000001,MDDBSRS000049
MDDBSRA000001,MDDBSRS000050
MDDBSRA000001,MDDBSRS000051
MDDBSRA000001,MDDBSRS000052
MDDBSRA000001,MDDBSRS000053
MDDBSRA000001,MDDBSRS000054
MDDBSRA000001,MDDBSRS000055
MDDBSRA000001,MDDBSRS000056
MDDBSRA000001,MDDBSRS000057
MDDBSRA000001,MDDBSRS000058
MDDBSRA000001,MDDBSRS000059
MDDBSRA000001,MDDBSRS000060
MDDBSRA000001,MDDBSRS000061
MDDBSRA000001,MDDBSRS000062
MDDBSRA000001,MDDBSRS000063
MDDBSRA000001,MDDBSRS000064
MDDBSRA000001,MDDBSRS000065
MDDBSRA000001,MDDBSRS000066
MDDBSRA000001,MDDBSRS000067
MDDBSRA000001,MDDBSRS000068
MDDBSRA000001,MDDBSRS000069
MDDBSRA000001,MDDBSRS000070
MDDBSRA000001,MDDBSRS000071
MDDBSRA000001,MDDBSRS000072
MDDBSRA000001,MDDBSRS000073
MDDBSRA000001,MDDBSRS000074
MDDBSRA000001,MDDBSRS000075
MDDBSRA000001,MDDBSRS000076
MDDBSRA000001,MDDBSRS000077
MDDBSRA000001,MDDBSRS000078
MDDBSRA000001,MDDBSRS000079
MDDBSRA000001,MDDBSRS000080
MDDBSRA000001,MDDBSRS000081
MDDBSRA000001,MDDBSRS000082
MDDBSRA000001,MDDBSRS000083
MDDBSRA000001,MDDBSRS000084
MDDBSRA000001,MDDBSRS000085
MDDBSRA000001,MDDBSRS000086
MDDBSRA000001,MDDBSRS000087
MDDBSRA000001,MDDBSRS000088
MDDBSRA000001,MDDBSRS000089
MDDBSRA000001,MDDBSRS000090
MDDBSRA000001,MDDBSRS000091
MDDBSRA000001,MDDBSRS000092
MDDBSRA000001,MDDBSRS000093
MDDBSRA000001,MDDBSRS000094
MDDBSRA000001,MDDBSRS000095
MDDBSRA000001,MDDBSRS000096
MDDBSRA000001,MDDBSRS000097
MDDBSRA000001,MDDBSRS000098
MDDBSRA000001,MDDBSRS000099
MDDBSRA000001,MDDBSRS000100
MDDBSRA000001,MDDBSRS000101
MDDBSRA000001,MDDBSRS000102
MDDBSRA000001,MDDBSRS000103
MDDBSRA000001,MDDBSRS000104
MDDBSRA000001,MDDBSRS000105
MDDBSRA000001,MDDBSRS000106
MDDBSRA000001,MDDBSRS000107
MDDBSRA000001,MDDBSRS000108
MDDBSRA000001,MDDBSRS000109
MDDBSRA000001,MDDBSRS000110
MDDBSRA000001,MDDBSRS000111
MDDBSRA000001,MDDBSRS000112
MDDBSRA000001,MDDBSRS000113
MDDBSRA000001,MDDBSRS000114
MDDBSRA000001,MDDBSRS000115
MDDBSRA000001,MDDBSRS000116
MDDBSRA000001,MDDBSRS000117
MDDBSRA000001,MDDBSRS000118
MDDBSRA000001,MDDBSRS000119
MDDBSRA000001,MDDBSRS000120
MDDBSRA000001,MDDBSRS000121
MDDBSRA000001,MDDBSRS000122
MDDBSRA000001,MDDBSRS000123
MDDBSRA000001,MDDBSRS000124
MDDBSRA000001,MDDBSRS000125
MDDBSRA000001,MDDBSRS000126
MDDBSRA000001,MDDBSRS000127
MDDBSRA000001,MDDBSRS000128
MDDBSRA000001,MDDBSRS000129
MDDBSRA000001,MDDBSRS000130
MDDBSRA000001,MDDBSRS000131
MDDBSRA000001,MDDBSRS000132
MDDBSRA000001,MDDBSRS000133
MDDBSRA000001,MDDBSRS000134
MDDBSRA000001,MDDBSRS000135
MDDBSRA000001,MDDBSRS000136
MDDBSRA000001,MDDBSRS000137
MDDBSRA000001,MDDBSRS000138
MDDBSRA000001,MDDBSRS000139
MDDBSRA000001,MDDBSRS000140
MDDBSRA000001,MDDBSRS000141
MDDBSRA000001,MDDBSRS000142
MDDBSRA000001,MDDBSRS000143
MDDBSRA000001,MDDBSRS000144
MDDBSRA000001,MDDBSRS000145
MDDBSRA000001,MDDBSRS000146
MDDBSRA000001,MDDBSRS000147
MDDBSRA000001,MDDBSRS000148
MDDBSRA000001,MDDBSRS000149
MDDBSRA000001,MDDBSRS000150
MDDBSRA000001,MDDBSRS000151
MDDBSRA000001,MDDBSRS000152
MDDBSRA000001,MDDBSRS000153
MDDBSRA000001,MDDBSRS000154
MDDBSRA000001,MDDBSRS000155
MDDBSRA000001,MDDBSRS000156
MDDBSRA000001,MDDBSRS000157
MDDBSRA000001,MDDBSRS000158
MDDBSRA000001,MDDBSRS000159
MDDBSRA000001,MDDBSRS000160
MDDBSRA000001,MDDBSRS000161
MDDBSRA000001,MDDBSRS000162
MDDBSRA000001,MDDBSRS000163
MDDBSRA000001,MDDBSRS000164
MDDBSRA000001,MDDBSRS000165
MDDBSRA000001,MDDBSRS000166
MDDBSRA000001,MDDBSRS000167
MDDBSRA000001,MDDBSRS000168
MDDBSRA000001,MDDBSRS000169
MDDBSRA000001,MDDBSRS000170
MDDBSRA000001,MDDBSRS000171
MDDBSRA000001,MDDBSRS000172
MDDBSRA000001,MDDBSRS000173
MDDBSRA000001,MDDBSRS000174
MDDBSRA000001,MDDBSRS000175
MDDBSRA000001,MDDBSRS000176
MDDBSRA000001,MDDBSRS000177
MDDBSRA000001,MDDBSRS000178
MDDBSRA000001,MDDBSRS000179
MDDBSRA000001,MDDBSRS000180
MDDBSRA000001,MDDBSRS000181
MDDBSRA000001,MDDBSRS000182
MDDBSRA000001,MDDBSRS000183
MDDBSRA000001,MDDBSRS000184
MDDBSRA000001,MDDBSRS000185
MDDBSRA000001,MDDBSRS000186
MDDBSRA000001,MDDBSRS000187
MDDBSRA000001,MDDBSRS000188
MDDBSRA000001,MDDBSRS000189
MDDBSRA000001,MDDBSRS000190
MDDBSRA000001,MDDBSRS000191
MDDBSRA000001,MDDBSRS000192
MDDBSRA000001,MDDBSRS000193
MDDBSRA000001,MDDBSRS000194
MDDBSRA000001,MDDBSRS000195
MDDBSRA000001,MDDBSRS000196
MDDBSRA000001,MDDBSRS000197
MDDBSRA000001,MDDBSRS000198
MDDBSRA000001,MDDBSRS000199
MDDBSRA000001,MDDBSRS000200
MDDBSRA000001,MDDBSRS000201
MDDBSRA000001,MDDBSRS000202
MDDBSRA000001,MDDBSRS000203
MDDBSRA000001,MDDBSRS000204
MDDBSRA000001,MDDBSRS000205
MDDBSRA000001,MDDBSRS000206
MDDBSRA000001,MDDBSRS000207
MDDBSRA000001,MDDBSRS000208
MDDBSRA000001,MDDBSRS000209
MDDBSRA000001,MDDBSRS000210
MDDBSRA000001,MDDBSRS000211
MDDBSRA000001,MDDBSRS000212
MDDBSRA000001,MDDBSRS000213
MDDBSRA000001,MDDBSRS000214
MDDBSRA000001,MDDBSRS000215
MDDBSRA000001,MDDBSRS000216
MDDBSRA000001,MDDBSRS000217
MDDBSRA000001,MDDBSRS000218
MDDBSRA000001,MDDBSRS000219
MDDBSRA000001,MDDBSRS000220
MDDBSRA000001,MDDBSRS000221
MDDBSRA000001,MDDBSRS000222
MDDBSRA000001,MDDBSRS000223
MDDBSRA000001,MDDBSRS000224
MDDBSRA000001,MDDBSRS000225
MDDBSRA000001,MDDBSRS000226
MDDBSRA000001,MDDBSRS000227
MDDBSRA000001,MDDBSRS000228
MDDBSRA000001,MDDBSRS000229
MDDBSRA000001,MDDBSRS000230
MDDBSRA000001,MDDBSRS000231
MDDBSRA000001,MDDBSRS000232
MDDBSRA000001,MDDBSRS000233
MDDBSRA000001,MDDBSRS000234
MDDBSRA000001,MDDBSRS000235
MDDBSRA000001,MDDBSRS000236
MDDBSRA000001,MDDBSRS000237
MDDBSRA000001,MDDBSRS000238
MDDBSRA000001,MDDBSRS000239
MDDBSRA000001,MDDBSRS000240
MDDBSRA000001,MDDBSRS000241
MDDBSRA000001,MDDBSRS000242
MDDBSRA000001,MDDBSRS000243
MDDBSRA000001,MDDBSRS000244
MDDBSRA000001,MDDBSRS000245
MDDBSRA000001,MDDBSRS000246
MDDBSRA000001,MDDBSRS000247
MDDBSRA000001,MDDBSRS000248
MDDBSRA000001,MDDBSRS000249
MDDBSRA000001,MDDBSRS000250
MDDBSRA000001,MDDBSRS000251
MDDBSRA000001,MDDBSRS000252
MDDBSRA000001,MDDBSRS000253
MDDBSRA000001,MDDBSRS000254
MDDBSRA000001,MDDBSRS000255
MDDBSRA000001,MDDBSRS000256
MDDBSRA000001,MDDBSRS000257
MDDBSRA000001,MDDBSRS000258
MDDBSRA000001,MDDBSRS000259
MDDBSRA000001,MDDBSRS000260
MDDBSRA000001,MDDBSRS000261
MDDBSRA000001,MDDBSRS000262
MDDBSRA000001,MDDBSRS000263
MDDBSRA000001,MDDBSRS000264
MDDBSRA000001,MDDBSRS000265
MDDBSRA000001,MDDBSRS000266
MDDBSRA000001,MDDBSRS000267
MDDBSRA000001,MDDBSRS000268
MDDBSRA000001,MDDBSRS000269
MDDBSRA000001,MDDBSRS000270
MDDBSRA000001,MDDBSRS000271
MDDBSRA000001,MDDBSRS000272
MDDBSRA000001,MDDBSRS000273
MDDBSRA000001,MDDBSRS000274
MDDBSRA000001,MDDBSRS000275
MDDBSRA000001,MDDBSRS000276
MDDBSRA000001,MDDBSRS000277
MDDBSRA000001,MDDBSRS000278
MDDBSRA000001,MDDBSRS000279
MDDBSRA000001,MDDBSRS000280
MDDBSRA000001,MDDBSRS000281
MDDBSRA000001,MDDBSRS000282
MDDBSRA000001,MDDBSRS000283
MDDBSRA000001,MDDBSRS000284
MDDBSRA000001,MDDBSRS000285
MDDBSRA000001,MDDBSRS000286
MDDBSRA000001,MDDBSRS000287
MDDBSRA000001,MDDBSRS000288
MDDBSRA000001,MDDBSRS000289
MDDBSRA000001,MDDBSRS000290
MDDBSRA000001,MDDBSRS000291
MDDBSRA000001,MDDBSRS000292
MDDBSRA000001,MDDBSRS000293
MDDBSRA000001,MDDBSRS000294
MDDBSRA000001,MDDBSRS000295
MDDBSRA000001,MDDBSRS000296
MDDBSRA000001,MDDBSRS000297
MDDBSRA000001,MDDBSRS000298
MDDBSRA000001,MDDBSRS000299
MDDBSRA000001,MDDBSRS000300
MDDBSRA000001,MDDBSRS000301
MDDBSRA000001,MDDBSRS000302
MDDBSRA000001,MDDBSRS000303
MDDBSRA000001,MDDBSRS000304
MDDBSRA000001,MDDBSRS000305
MDDBSRA000001,MDDBSRS000306
MDDBSRA000001,MDDBSRS000307
MDDBSRA000001,MDDBSRS000308
MDDBSRA000001,MDDBSRS000309
MDDBSRA000001,MDDBSRS000310
MDDBSRA000001,MDDBSRS000311
MDDBSRA000001,MDDBSRS000312
MDDBSRA000001,MDDBSRS000313
MDDBSRA000001,MDDBSRS000314
MDDBSRA000001,MDDBSRS000315
MDDBSRA000001,MDDBSRS000316
MDDBSRA000001,MDDBSRS000317
MDDBSRA000001,MDDBSRS000318
MDDBSRA000001,MDDBSRS000319
MDDBSRA000001,MDDBSRS000320
MDDBSRA000001,MDDBSRS000321
MDDBSRA000001,MDDBSRS000322
MDDBSRA000001,MDDBSRS000323
MDDBSRA000001,MDDBSRS000324
MDDBSRA000001,MDDBSRS000325
MDDBSRA000001,MDDBSRS000326
MDDBSRA000001,MDDBSRS000327
MDDBSRA000001,MDDBSRS000328
MDDBSRA000001,MDDBSRS000329
MDDBSRA000001,MDDBSRS000330
MDDBSRA000001,MDDBSRS000331
MDDBSRA000001,MDDBSRS000332
MDDBSRA000001,MDDBSRS000333
MDDBSRA000001,MDDBSRS000334
MDDBSRA000001,MDDBSRS000335
MDDBSRA000001,MDDBSRS000336
MDDBSRA000001,MDDBSRS000337
MDDBSRA000001,MDDBSRS000338
MDDBSRA000001,MDDBSRS000339
MDDBSRA000001,MDDBSRS000340
MDDBSRA000001,MDDBSRS000341
MDDBSRA000001,MDDBSRS000342
MDDBSRA000001,MDDBSRS000343
MDDBSRA000001,MDDBSRS000344
MDDBSRA000001,MDDBSRS000345
MDDBSRA000001,MDDBSRS000346
MDDBSRA000001,MDDBSRS000347
MDDBSRA000001,MDDBSRS000348
MDDBSRA000001,MDDBSRS000349
MDDBSRA000001,MDDBSRS000350
MDDBSRA000001,MDDBSRS000351
MDDBSRA000001,MDDBSRS000352
MDDBSRA000001,MDDBSRS000353
MDDBSRA000001,MDDBSRS000354
MDDBSRA000001,MDDBSRS000355
MDDBSRA000001,MDDBSRS000356
MDDBSRA000001,MDDBSRS000357
MDDBSRA000001,MDDBSRS000358
MDDBSRA000001,MDDBSRS000359
MDDBSRA000001,MDDBSRS000360
MDDBSRA000001,MDDBSRS000361
MDDBSRA000001,MDDBSRS000362
MDDBSRA000001,MDDBSRS000363
MDDBSRA000001,MDDBSRS000364
MDDBSRA000001,MDDBSRS000365
MDDBSRA000001,MDDBSRS000366
MDDBSRA000001,MDDBSRS000367
MDDBSRA000001,MDDBSRS000368
MDDBSRA000001,MDDBSRS000369
MDDBSRA000001,MDDBSRS000370
MDDBSRA000001,MDDBSRS000371
MDDBSRA000001,MDDBSRS000372
MDDBSRA000001,MDDBSRS000373
MDDBSRA000001,MDDBSRS000374
MDDBSRA000001,MDDBSRS000375
MDDBSRA000001,MDDBSRS000376
MDDBSRA000001,MDDBSRS000377
MDDBSRA000001,MDDBSRS000378
MDDBSRA000001,MDDBSRS000379
MDDBSRA000001,MDDBSRS000380
MDDBSRA000001,MDDBSRS000381
MDDBSRA000001,MDDBSRS000382
MDDBSRA000001,MDDBSRS000383
MDDBSRA000001,MDDBSRS000384
MDDBSRA000001,MDDBSRS000385
MDDBSRA000001,MDDBSRS000386
MDDBSRA000001,MDDBSRS000387
MDDBSRA000001,MDDBSRS000388
MDDBSRA000001,MDDBSRS000389
MDDBSRA000001,MDDBSRS000390
MDDBSRA000001,MDDBSRS000391
MDDBSRA000001,MDDBSRS000392
MDDBSRA000001,MDDBSRS000393
MDDBSRA000001,MDDBSRS000394
MDDBSRA000001,MDDBSRS000395
MDDBSRA000001,MDDBSRS000396
MDDBSRA000001,MDDBSRS000397
MDDBSRA000001,MDDBSRS000398
MDDBSRA000001,MDDBSRS000399
MDDBSRA000001,MDDBSRS000400
MDDBSRA000001,MDDBSRS000401
MDDBSRA000001,MDDBSRS000402
MDDBSRA000001,MDDBSRS000403
MDDBSRA000001,MDDBSRS000404
MDDBSRA000001,MDDBSRS000405
MDDBSRA000001,MDDBSRS000406
MDDBSRA000001,MDDBSRS000407
MDDBSRA000001,MDDBSRS000408
MDDBSRA000001,MDDBSRS000409
MDDBSRA000001,MDDBSRS000410
MDDBSRA000001,MDDBSRS000411
MDDBSRA000001,MDDBSRS000412
MDDBSRA000001,MDDBSRS000413
MDDBSRA000001,MDDBSRS000414
MDDBSRA000001,MDDBSRS000415
MDDBSRA000001,MDDBSRS000416
MDDBSRA000001,MDDBSRS000417
MDDBSRA000001,MDDBSRS000418
MDDBSRA000001,MDDBSRS000419
MDDBSRA000001,MDDBSRS000420
MDDBSRA000001,MDDBSRS000421
MDDBSRA000001,MDDBSRS000422
MDDBSRA000001,MDDBSRS000423
MDDBSRA000001,MDDBSRS000424
MDDBSRA000001,MDDBSRS000425
MDDBSRA000001,MDDBSRS000426
MDDBSRA000001,MDDBSRS000427
MDDBSRA000001,MDDBSRS000428
MDDBSRA000001,MDDBSRS000429
MDDBSRA000001,MDDBSRS000430
MDDBSRA000001,MDDBSRS000431
MDDBSRA000001,MDDBSRS000432
MDDBSRA000001,MDDBSRS000433
MDDBSRA000001,MDDBSRS000434
MDDBSRA000001,MDDBSRS000435
MDDBSRA000001,MDDBSRS000436
MDDBSRA000001,MDDBSRS000437
MDDBSRA000001,MDDBSRS000438
MDDBSRA000001,MDDBSRS000439
MDDBSRA000001,MDDBSRS000440
MDDBSRA000001,MDDBSRS000441
MDDBSRA000001,MDDBSRS000442
MDDBSRA000001,MDDBSRS000443
MDDBSRA000001,MDDBSRS000444
MDDBSRA000001,MDDBSRS000445
MDDBSRA000001,MDDBSRS000446
MDDBSRA000001,MDDBSRS000447
MDDBSRA000001,MDDBSRS000448
MDDBSRA000001,MDDBSRS000449
MDDBSRA000001,MDDBSRS000450
MDDBSRA000001,MDDBSRS000451
MDDBSRA000001,MDDBSRS000452
MDDBSRA000001,MDDBSRS000453
MDDBSRA000001,MDDBSRS000454
MDDBSRA000001,MDDBSRS000455
MDDBSRA000001,MDDBSRS000456
MDDBSRA000001,MDDBSRS000457
MDDBSRA000001,MDDBSRS000458
MDDBSRA000001,MDDBSRS000459
MDDBSRA000001,MDDBSRS000460
MDDBSRA000001,MDDBSRS000461
MDDBSRA000001,MDDBSRS000462
MDDBSRA000001,MDDBSRS000463
MDDBSRA000001,MDDBSRS000464
MDDBSRA000001,MDDBSRS000465
MDDBSRA000001,MDDBSRS000466
MDDBSRA000001,MDDBSRS000467
MDDBSRA000001,MDDBSRS000468
MDDBSRA000001,MDDBSRS000469
MDDBSRA000001,MDDBSRS000470
MDDBSRA000001,MDDBSRS000471
MDDBSRA000001,MDDBSRS000472
MDDBSRA000001,MDDBSRS000473
MDDBSRA000001,MDDBSRS000474
MDDBSRA000001,MDDBSRS000475
MDDBSRA000001,MDDBSRS000476
MDDBSRA000001,MDDBSRS000477
MDDBSRA000001,MDDBSRS000478
MDDBSRA000001,MDDBSRS000479
MDDBSRA000001,MDDBSRS000480
MDDBSRA000001,MDDBSRS000481
MDDBSRA000001,MDDBSRS000482
MDDBSRA000001,MDDBSRS000483
MDDBSRA000001,MDDBSRS000484
MDDBSRA000001,MDDBSRS000485
MDDBSRA000001,MDDBSRS000486
MDDBSRA000001,MDDBSRS000487
MDDBSRA000001,MDDBSRS000488
MDDBSRA000001,MDDBSRS000489
MDDBSRA000001,MDDBSRS000490
MDDBSRA000001,MDDBSRS000491
MDDBSRA000001,MDDBSRS000492
MDDBSRA000001,MDDBSRS000493
MDDBSRA000001,MDDBSRS000494
MDDBSRA000001,MDDBSRS000495
MDDBSRA000001,MDDBSRS000496
MDDBSRA000001,MDDBSRS000497
MDDBSRA000001,MDDBSRS000498
MDDBSRA000001,MDDBSRS000499
MDDBSRA000001,MDDBSRS000500
MDDBSRA000001,MDDBSRS000501
MDDBSRA000001,MDDBSRS000502
MDDBSRA000001,MDDBSRS000503
MDDBSRA000001,MDDBSRS000504
MDDBSRA000001,MDDBSRS000505
MDDBSRA000001,MDDBSRS000506
MDDBSRA000001,MDDBSRS000507
MDDBSRA000001,MDDBSRS000508
MDDBSRA000001,MDDBSRS000509
MDDBSRA000001,MDDBSRS000510
MDDBSRA000001,MDDBSRS000511
MDDBSRA000001,MDDBSRS000512
